,country,year,sex,age,suicides_no,population
475,98,2004,2,6,0,1590
476,98,2004,1,2,0,6968
477,98,2004,1,3,0,6556
478,98,2004,1,1,0,8196
479,98,2004,1,6,0,1094
480,98,2005,2,2,0,7780
481,98,2005,2,3,0,7327
482,98,2005,2,4,0,12835
483,98,2005,2,1,0,8584
484,98,2005,2,5,0,4157
485,98,2005,2,6,0,1575
486,98,2005,1,2,0,7113
487,98,2005,1,3,0,6444
488,98,2005,1,4,0,11778
489,98,2005,1,1,0,8358
490,98,2005,1,5,0,3748
491,98,2005,1,6,0,1110
492,98,2006,2,2,0,7902
493,98,2006,2,3,0,7098
494,98,2006,2,4,0,13374
495,98,2006,2,1,0,8571
496,98,2006,2,5,0,4256
497,98,2006,2,6,0,1573
498,98,2006,1,2,0,7239
499,98,2006,1,3,0,6319
500,98,2006,1,4,0,12202
501,98,2006,1,1,0,8485
502,98,2006,1,5,0,3847
503,98,2006,1,6,0,1107
504,98,2007,1,4,1,12530
505,98,2007,2,2,0,8013
506,98,2007,2,3,0,6962
507,98,2007,2,4,0,13860
508,98,2007,2,1,0,8555
509,98,2007,2,5,0,4400
510,98,2007,2,6,0,1568
511,98,2007,1,2,0,7330
512,98,2007,1,3,0,6267
513,98,2007,1,1,0,8564
514,98,2007,1,5,0,3988
515,98,2007,1,6,0,1094
516,98,2008,2,2,0,8108
517,98,2008,2,3,0,6910
518,98,2008,2,4,0,14278
519,98,2008,2,1,0,8537
520,98,2008,2,5,0,4587
521,98,2008,2,6,0,1567
522,98,2008,1,2,0,7404
523,98,2008,1,3,0,6274
524,98,2008,1,4,0,12782
525,98,2008,1,1,0,8599
526,98,2008,1,5,0,4158
527,98,2008,1,6,0,1069
528,98,2009,2,2,0,8199
529,98,2009,2,3,0,6917
530,98,2009,2,4,0,14629
531,98,2009,2,1,0,8514
532,98,2009,2,5,0,4793
533,98,2009,2,6,0,1571
534,98,2009,1,2,0,7489
535,98,2009,1,3,0,6325
536,98,2009,1,4,0,12978
537,98,2009,1,1,0,8599
538,98,2009,1,5,0,4349
539,98,2009,1,6,0,1042
540,98,2012,2,2,0,8435
541,98,2012,2,3,0,7215
542,98,2012,2,4,0,15193
543,98,2012,2,1,0,8401
544,98,2012,2,5,0,5512
545,98,2012,2,6,0,1625
546,98,2012,1,2,0,7893
547,98,2012,1,3,0,6629
548,98,2012,1,4,0,13280
549,98,2012,1,1,0,8475
550,98,2012,1,5,0,4994
551,98,2012,1,6,0,1051
552,98,2013,2,2,0,8494
553,98,2013,2,3,0,7397
554,98,2013,2,4,0,15236
555,98,2013,2,1,0,8353
556,98,2013,2,5,0,5787
557,98,2013,2,6,0,1652
558,98,2013,1,2,0,8061
559,98,2013,1,3,0,6782
560,98,2013,1,4,0,13302
561,98,2013,1,1,0,8405
562,98,2013,1,5,0,5238
563,98,2013,1,6,0,1072
564,98,2014,2,2,0,8537
565,98,2014,2,3,0,7578
566,98,2014,2,4,0,15273
567,98,2014,2,1,0,8296
568,98,2014,2,5,0,6085
569,98,2014,2,6,0,1686
570,98,2014,1,2,0,8208
571,98,2014,1,3,0,6928
572,98,2014,1,4,0,13325
573,98,2014,1,1,0,8335
574,98,2014,1,5,0,5503
575,98,2014,1,6,0,1083
576,98,2015,2,5,1,6403
577,98,2015,2,2,0,8561
578,98,2015,2,3,0,7740
579,98,2015,2,4,0,15323
580,98,2015,2,1,0,8239
581,98,2015,2,6,0,1724
582,98,2015,1,2,0,8331
583,98,2015,1,3,0,7059
584,98,2015,1,4,0,13370
585,98,2015,1,1,0,8268
586,98,2015,1,5,0,5784
587,98,2015,1,6,0,1087
588,91,1985,1,6,202,363000
589,91,1985,1,5,485,1997000
590,91,1985,1,4,414,3346300
591,91,1985,2,5,210,2304000
592,91,1985,1,3,177,2234200
593,91,1985,2,6,41,537000
594,91,1985,1,2,156,2415200
595,91,1985,2,4,142,3355300
596,91,1985,2,3,65,2185200
597,91,1985,2,2,69,2354200
598,91,1985,1,1,16,3044200
599,91,1985,2,1,11,2955200
600,91,1986,1,6,230,365000
601,91,1986,1,5,530,2008300
602,91,1986,1,4,478,3365200
603,91,1986,1,3,209,2246900
604,91,1986,2,6,48,540200
605,91,1986,2,5,201,2317100
606,91,1986,1,2,186,2428900
607,91,1986,2,4,188,3374300
608,91,1986,2,3,96,2197600
609,91,1986,2,2,101,2367600
610,91,1986,1,1,10,3061400
611,91,1986,2,1,7,2971900
612,91,1987,1,6,200,369800
613,91,1987,1,5,532,2034500
614,91,1987,1,4,482,3409100
615,91,1987,2,6,57,547000
616,91,1987,2,5,224,2347300
617,91,1987,1,3,192,2276200
618,91,1987,1,2,179,2460600
619,91,1987,2,4,209,3418300
620,91,1987,2,3,89,2226200
621,91,1987,2,2,93,2398400
622,91,1987,1,1,15,3101300
623,91,1987,2,1,14,3010700
624,91,1988,1,6,216,392000
625,91,1988,1,5,550,2079000
626,91,1988,1,4,477,3503000
627,91,1988,2,6,61,602000
628,91,1988,2,5,233,2412000
629,91,1988,1,3,215,2276000
630,91,1988,1,2,211,2524000
631,91,1988,2,4,198,3508000
632,91,1988,2,2,101,2459000
633,91,1988,2,3,61,2228000
634,91,1988,1,1,20,3210000
635,91,1988,2,1,11,3115000
636,91,1989,1,6,208,400000
637,91,1989,1,5,548,2105000
638,91,1989,1,4,462,3561000
639,91,1989,2,6,65,622000
640,91,1989,1,3,219,2287000
641,91,1989,2,5,201,2446000
642,91,1989,1,2,186,2575000
643,91,1989,2,4,166,3563000
644,91,1989,2,3,83,2240000
645,91,1989,2,2,80,2509000
646,91,1989,1,1,18,3245000
647,91,1989,2,1,11,3149000
648,91,1990,1,6,226,411100
649,91,1990,1,5,502,2128000
650,91,1990,1,4,439,3619000
651,91,1990,2,6,61,643000
652,91,1990,1,3,182,2297000
653,91,1990,2,5,190,2477000
654,91,1990,1,2,174,2635000
655,91,1990,2,4,163,3622000
656,91,1990,2,2,91,2568000
657,91,1990,2,3,76,2251000
658,91,1990,1,1,22,3269000
659,91,1990,2,1,14,3171000
660,91,1991,1,6,184,396000
661,91,1991,1,5,449,2130000
662,91,1991,1,4,398,3580000
663,91,1991,1,3,214,2277000
664,91,1991,2,6,50,658000
665,91,1991,2,5,169,2508000
666,91,1991,1,2,179,2738000
667,91,1991,2,4,133,3691000
668,91,1991,2,3,77,2310000
669,91,1991,2,2,61,2689000
670,91,1991,1,1,28,3369000
671,91,1991,2,1,9,3277000
672,91,1992,1,6,194,404900
673,91,1992,1,5,500,2150500
674,91,1992,1,4,488,3616600
675,91,1992,1,3,227,2306200
676,91,1992,1,2,249,2834100
677,91,1992,2,6,46,678000
678,91,1992,2,5,147,2538400
679,91,1992,2,4,140,3755500
680,91,1992,2,3,79,2329100
681,91,1992,2,2,79,2783500
682,91,1992,1,1,22,3371800
683,91,1992,2,1,13,3276800
684,91,1993,1,6,229,413600
685,91,1993,1,5,520,2171500
686,91,1993,1,4,495,3672300
687,91,1993,1,3,233,2336300
688,91,1993,2,6,58,698400
689,91,1993,1,2,235,2932300
690,91,1993,2,5,126,2568300
691,91,1993,2,4,144,3820400
692,91,1993,2,3,76,2347800
693,91,1993,2,2,73,2879300
694,91,1993,1,1,25,3367500
695,91,1993,2,1,16,3269800
696,91,1994,1,6,192,423100
697,91,1994,1,5,509,2192500
698,91,1994,1,4,527,3729600
699,91,1994,1,3,226,2369000
700,91,1994,1,2,250,3027200
701,91,1994,2,5,135,2597400
702,91,1994,2,6,34,719700
703,91,1994,2,4,160,3885600
704,91,1994,2,2,98,2971300
705,91,1994,2,3,72,2369900
706,91,1994,1,1,27,3363000
707,91,1994,2,1,11,3262900
708,91,1995,1,6,190,433800
709,91,1995,1,5,515,2214000
710,91,1995,1,4,485,3787800
711,91,1995,1,3,218,2404900
712,91,1995,1,2,277,3112100
713,91,1995,2,6,49,742200
714,91,1995,2,5,134,2625900
715,91,1995,2,4,139,3950100
716,91,1995,2,2,101,3053300
717,91,1995,2,3,62,2396900
718,91,1995,2,1,19,3261100
719,91,1995,1,1,15,3363300
720,91,1996,1,6,189,445800
721,91,1996,1,5,464,2235900
722,91,1996,1,4,524,3847300
723,91,1996,1,3,226,2442900
724,91,1996,1,2,280,3185600
725,91,1996,2,6,59,766100
726,91,1996,2,5,131,2653800
727,91,1996,2,4,176,4014100
728,91,1996,2,2,105,3123600
729,91,1996,2,3,52,2428400
730,91,1996,1,1,14,3370400
731,91,1996,2,1,9,3266800
732,91,1997,1,6,195,490152
733,91,1997,1,5,457,2252148
734,91,1997,1,4,501,3934581
735,91,1997,1,3,213,2460112
736,91,1997,1,2,260,3198193
737,91,1997,2,6,47,854095
738,91,1997,2,5,131,2668528
739,91,1997,2,4,165,4083427
740,91,1997,2,2,113,3161000
741,91,1997,2,3,72,2474330
742,91,1997,1,1,19,3429860
743,91,1997,2,1,11,3327355
744,91,1998,1,6,201,504164
745,91,1998,1,5,518,2274972
746,91,1998,1,4,508,3990829
747,91,1998,1,2,327,3243944
748,91,1998,1,3,251,2497189
749,91,1998,2,6,53,883724
750,91,1998,2,5,140,2696429
751,91,1998,2,2,114,3200362
752,91,1998,2,4,147,4143203
753,91,1998,2,3,52,2512005
754,91,1998,2,1,20,3353473
755,91,1998,1,1,16,3456965
756,91,1999,1,6,204,515800
757,91,1999,1,5,540,2301840
758,91,1999,1,4,545,4045105
759,91,1999,1,2,355,3279728
760,91,1999,1,3,265,2543861
761,91,1999,2,5,137,2727054
762,91,1999,2,6,44,912898
763,91,1999,2,4,141,4200203
764,91,1999,2,2,101,3229424
765,91,1999,2,3,50,2559176
766,91,1999,1,1,21,3482230
767,91,1999,2,1,20,3377543
768,91,2000,1,6,232,525161
769,91,2000,1,5,602,2333377
770,91,2000,1,4,578,4096814
771,91,2000,1,2,463,3306109
772,91,2000,1,3,331,2602314
773,91,2000,2,5,133,2760512
774,91,2000,2,6,43,941957
775,91,2000,2,4,174,4253771
776,91,2000,2,2,116,3249247
777,91,2000,2,3,63,2617723
778,91,2000,2,1,21,3396135
779,91,2000,1,1,18,3502413
780,91,2001,1,6,250,547473
781,91,2001,1,5,659,2358654
782,91,2001,1,2,518,3325440
783,91,2001,1,4,625,4145861
784,91,2001,1,3,375,2675285
785,91,2001,2,6,57,978346
786,91,2001,2,2,166,3262682
787,91,2001,2,5,137,2788628
788,91,2001,2,4,210,4306817
789,91,2001,2,3,82,2690206
790,91,2001,1,1,29,3519935
791,91,2001,2,1,24,3411619
792,91,2002,1,6,234,566447
793,91,2002,1,5,615,2387478
794,91,2002,1,2,542,3331708
795,91,2002,1,3,412,2758283
796,91,2002,1,4,619,4191889
797,91,2002,2,5,179,2819507
798,91,2002,2,6,58,1012399
799,91,2002,2,2,158,3263542
800,91,2002,2,4,194,4355651
801,91,2002,2,3,91,2772560
802,91,2002,1,1,37,3529201
803,91,2002,2,1,23,3418842
804,91,2003,1,6,272,581842
805,91,2003,1,5,577,2420864
806,91,2003,1,2,638,3331226
807,91,2003,1,3,456,2845955
808,91,2003,1,4,625,4237124
809,91,2003,2,6,68,1044188
810,91,2003,2,2,179,3258029
811,91,2003,2,5,147,2854473
812,91,2003,2,4,196,4402438
813,91,2003,2,3,69,2859003
814,91,2003,1,1,37,3531507
815,91,2003,2,1,25,3419258
816,91,2004,1,6,227,593409
817,91,2004,1,5,500,2459960
818,91,2004,1,2,653,3333328
819,91,2004,1,3,445,2930079
820,91,2004,1,4,599,4284709
821,91,2004,2,2,159,3255244
822,91,2004,2,5,136,2895423
823,91,2004,2,6,50,1073648
824,91,2004,2,4,185,4450210
825,91,2004,2,3,99,2940630
826,91,2004,1,1,43,3530061
827,91,2004,2,1,25,3416244
828,91,2005,1,6,225,601176
829,91,2005,1,5,489,2505136
830,91,2005,1,2,638,3343414
831,91,2005,1,3,451,3004991
832,91,2005,1,4,539,4336453
833,91,2005,2,5,161,2943135
834,91,2005,2,6,59,1101024
835,91,2005,2,2,148,3260468
836,91,2005,2,4,171,4500787
837,91,2005,2,3,104,3011376
838,91,2005,1,1,52,3528848
839,91,2005,2,1,21,3413809
840,91,2006,1,6,246,620010
841,91,2006,1,2,656,3357424
842,91,2006,1,5,487,2540712
843,91,2006,1,3,483,3068991
844,91,2006,1,4,585,4383730
845,91,2006,2,2,175,3271703
846,91,2006,2,5,115,2983954
847,91,2006,2,4,160,4549471
848,91,2006,2,3,105,3070419
849,91,2006,2,6,31,1132977
850,91,2006,1,1,39,3527369
851,91,2006,2,1,26,3412126
852,91,2007,1,6,225,634995
853,91,2007,1,2,577,3381171
854,91,2007,1,5,438,2582754
855,91,2007,1,3,490,3125322
856,91,2007,1,4,571,4436541
857,91,2007,2,2,146,3292790
